tabel;id_prov;id_kab;id_komoditas;id_kec;prov;kab;kec;n_rtup_tangkar_tumbuhan_liar_belum_dijual;n_rtup_tangkar_tumbuhan_liar_semua_dijual;n_rtup_tangkar_tumbuhan_liar_sebagian_besar_dijual;n_rtup_tangkar_tumbuhan_liar_sebagian_besar_dikonsumsi;jumlah
BAB_8_tabel_8_61_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;6306;[5310011] MEGO;53;5310;5310011;0;0;0;0;0
BAB_8_tabel_8_61_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;6306;[5310012] TANA WAWO;53;5310;5310012;0;0;0;0;0
BAB_8_tabel_8_61_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;6306;[5310020] LELA;53;5310;5310020;0;0;0;0;0
BAB_8_tabel_8_61_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;6306;[5310030] BOLA;53;5310;5310030;0;0;0;0;0
BAB_8_tabel_8_61_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;6306;[5310031] DORENG;53;5310;5310031;0;0;0;0;0
BAB_8_tabel_8_61_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;6306;[5310032] MAPITARA;53;5310;5310032;0;0;0;0;0
BAB_8_tabel_8_61_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;6306;[5310040] TALIBURA;53;5310;5310040;0;0;0;0;0
BAB_8_tabel_8_61_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;6306;[5310041] WAIGETE;53;5310;5310041;0;0;0;0;0
BAB_8_tabel_8_61_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;6306;[5310042] WAIBLAMA;53;5310;5310042;0;0;0;0;0
BAB_8_tabel_8_61_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;6306;[5310050] KEWAPANTE;53;5310;5310050;0;0;0;0;0
BAB_8_tabel_8_61_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;6306;[5310051] HEWOKLOANG;53;5310;5310051;0;0;0;0;0
BAB_8_tabel_8_61_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;6306;[5310052] KANGAE;53;5310;5310052;0;0;0;0;0
BAB_8_tabel_8_61_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;6306;[5310061] PALUE;53;5310;5310061;0;0;0;0;0
BAB_8_tabel_8_61_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;6306;[5310062] KOTING;53;5310;5310062;0;0;0;0;0
BAB_8_tabel_8_61_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;6306;[5310063] NELLE;53;5310;5310063;0;0;0;0;0
BAB_8_tabel_8_61_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;6306;[5310070] NITA;53;5310;5310070;0;0;0;0;0
BAB_8_tabel_8_61_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;6306;[5310071] MAGEPANDA;53;5310;5310071;0;0;0;0;0
BAB_8_tabel_8_61_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;6306;[5310080] ALOK;53;5310;5310080;0;0;0;0;0
BAB_8_tabel_8_61_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;6306;[5310081] ALOK BARAT;53;5310;5310081;0;0;0;0;0
BAB_8_tabel_8_61_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;6306;[5310082] ALOK TIMUR;53;5310;5310082;0;0;0;0;0
BAB_8_tabel_8_61_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;6306;[5310] SIKKA;53;5310;5310999;0;0;0;0;0
BAB_8_tabel_8_61_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;6307;[5310010] PAGA;53;5310;5310010;0;0;0;0;0
BAB_8_tabel_8_61_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;6307;[5310011] MEGO;53;5310;5310011;0;0;0;0;0
BAB_8_tabel_8_61_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;6307;[5310012] TANA WAWO;53;5310;5310012;0;0;0;0;0
BAB_8_tabel_8_61_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;6307;[5310020] LELA;53;5310;5310020;0;0;0;0;0
BAB_8_tabel_8_61_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;6307;[5310030] BOLA;53;5310;5310030;0;0;0;0;0
BAB_8_tabel_8_61_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;6307;[5310031] DORENG;53;5310;5310031;0;0;0;0;0
BAB_8_tabel_8_61_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;6307;[5310032] MAPITARA;53;5310;5310032;0;0;0;0;0
BAB_8_tabel_8_61_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;6307;[5310040] TALIBURA;53;5310;5310040;0;0;0;0;0
BAB_8_tabel_8_61_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;6307;[5310041] WAIGETE;53;5310;5310041;0;0;0;0;0
BAB_8_tabel_8_61_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;6307;[5310042] WAIBLAMA;53;5310;5310042;0;0;0;0;0
BAB_8_tabel_8_61_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;6307;[5310050] KEWAPANTE;53;5310;5310050;0;0;0;0;0
BAB_8_tabel_8_61_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;6307;[5310051] HEWOKLOANG;53;5310;5310051;0;0;0;0;0
BAB_8_tabel_8_61_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;6307;[5310052] KANGAE;53;5310;5310052;0;0;0;0;0
BAB_8_tabel_8_61_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;6307;[5310061] PALUE;53;5310;5310061;0;0;0;0;0
BAB_8_tabel_8_61_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;6307;[5310062] KOTING;53;5310;5310062;0;0;0;0;0
BAB_8_tabel_8_61_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;6307;[5310063] NELLE;53;5310;5310063;0;0;0;0;0
BAB_8_tabel_8_61_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;6307;[5310070] NITA;53;5310;5310070;0;0;0;0;0
BAB_8_tabel_8_61_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;6307;[5310071] MAGEPANDA;53;5310;5310071;0;0;0;0;0
BAB_8_tabel_8_61_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;6307;[5310080] ALOK;53;5310;5310080;0;0;0;0;0
BAB_8_tabel_8_61_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;6307;[5310081] ALOK BARAT;53;5310;5310081;0;0;0;0;0
BAB_8_tabel_8_61_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;6307;[5310082] ALOK TIMUR;53;5310;5310082;0;0;0;0;0
BAB_8_tabel_8_61_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;6307;[5310] SIKKA;53;5310;5310999;0;0;0;0;0
BAB_8_tabel_8_61_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;6308;[5310010] PAGA;53;5310;5310010;0;0;0;0;0
BAB_8_tabel_8_61_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;6308;[5310011] MEGO;53;5310;5310011;0;0;0;0;0
BAB_8_tabel_8_61_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;6308;[5310012] TANA WAWO;53;5310;5310012;0;0;0;0;0
BAB_8_tabel_8_61_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;6308;[5310020] LELA;53;5310;5310020;0;0;0;0;0
BAB_8_tabel_8_61_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;6308;[5310030] BOLA;53;5310;5310030;0;0;0;0;0
BAB_8_tabel_8_61_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;6308;[5310031] DORENG;53;5310;5310031;0;0;0;0;0
BAB_8_tabel_8_61_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;6308;[5310032] MAPITARA;53;5310;5310032;0;0;0;0;0
BAB_8_tabel_8_61_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;6308;[5310040] TALIBURA;53;5310;5310040;0;0;0;0;0
BAB_8_tabel_8_61_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;6308;[5310041] WAIGETE;53;5310;5310041;0;0;0;0;0
BAB_8_tabel_8_61_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;6308;[5310042] WAIBLAMA;53;5310;5310042;0;0;0;0;0
BAB_8_tabel_8_61_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;6308;[5310050] KEWAPANTE;53;5310;5310050;0;0;0;0;0
BAB_8_tabel_8_61_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;6308;[5310051] HEWOKLOANG;53;5310;5310051;0;0;0;0;0
BAB_8_tabel_8_61_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;6308;[5310052] KANGAE;53;5310;5310052;0;0;0;0;0
